processRunId,scenario,provider,fork,block,orderPosition,phase,analysisSet,cycleObservationCount,blockValid,semanticGatePassed,performanceComparisonEligible,includedInPerformanceSummary,redeployReadyAllCycles,observedMedian_operationsPerSecond,comparisonMedian_operationsPerSecond,observedMedian_readOperationsPerSecond,comparisonMedian_readOperationsPerSecond,observedMedian_fillOperationsPerSecond,comparisonMedian_fillOperationsPerSecond,observedMedian_latencyP50Nanos,comparisonMedian_latencyP50Nanos,observedMedian_latencyP95Nanos,comparisonMedian_latencyP95Nanos,observedMedian_latencyP99Nanos,comparisonMedian_latencyP99Nanos,observedMedian_measuredLatencySamples,comparisonMedian_measuredLatencySamples
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p1-cache2k,default,cache2k,3,3,1,redeploy,primary-all-cycles,5,True,True,True,True,True,29641825.821150184,29641825.821150184,29641825.821150184,29641825.821150184,2159439.1677348693,2159439.1677348693,141.0,141.0,330.0,330.0,501.0,501.0,2317032.0,2317032.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p1-cache2k,default,cache2k,3,3,1,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,29582159.517690547,29582159.517690547,29582159.517690547,29582159.517690547,1541395.2969995087,1541395.2969995087,150.5,150.5,336.0,336.0,516.5,516.5,2312360.0,2312360.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p1-cache2k,default,cache2k,3,3,1,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,29847755.544849202,29847755.544849202,29847755.544849202,29847755.544849202,2195214.5903540384,2195214.5903540384,145.5,145.5,330.5,330.5,521.0,521.0,2333136.0,2333136.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p2-jcs4,default,jcs4,3,3,2,initial,primary-all-cycles,5,True,True,True,True,True,798638.0899947461,798638.0899947461,798638.0899947461,798638.0899947461,3276663.439153179,3276663.439153179,612.0,612.0,2936.0,2936.0,304917.0,304917.0,62420.0,62420.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p2-jcs4,default,jcs4,3,3,2,redeploy,primary-all-cycles,5,True,True,True,True,True,847153.9073961563,847153.9073961563,847153.9073961563,847153.9073961563,3713141.9604721186,3713141.9604721186,541.0,541.0,2685.0,2685.0,286286.0,286286.0,66196.0,66196.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p2-jcs4,default,jcs4,3,3,2,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,925167.7431881055,925167.7431881055,925167.7431881055,925167.7431881055,3519061.1266239835,3519061.1266239835,536.5,536.5,2325.0,2325.0,287820.5,287820.5,72308.0,72308.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p2-jcs4,default,jcs4,3,3,2,redeploy,sensitivity-without-cycle-1,4,True,True,True,True,True,793795.1318832594,793795.1318832594,793795.1318832594,793795.1318832594,3728159.0751390513,3728159.0751390513,636.5,636.5,2765.5,2765.5,295161.5,295161.5,62034.0,62034.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p3-ehcache,default,ehcache,3,3,3,initial,primary-all-cycles,5,True,True,True,True,True,24057634.529491935,24057634.529491935,24057634.529491935,24057634.529491935,1642466.8340778362,1642466.8340778362,171.0,171.0,311.0,311.0,541.0,541.0,1880260.0,1880260.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p3-ehcache,default,ehcache,3,3,3,redeploy,primary-all-cycles,5,True,True,True,True,True,23323853.70604944,23323853.70604944,23323853.70604944,23323853.70604944,1479531.3495678364,1479531.3495678364,171.0,171.0,331.0,331.0,561.0,561.0,1822916.0,1822916.0
article1-unified-v4-2-fb3f101b-20260903-000401-default-f03-p3-ehcache,default,ehcache,3,3,3,initial,sensitivity-without-cycle-1,4,True,True,True,True,True,24425800.22198094,24425800.22198094,24425800.22198094,24425800.22198094,1785062.956998933,1785062.956998933,170.5,170.5,306.0,306.0,541.0,541.0,1909040.0,1909040.0
